mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7540780703226725,0.0695226121010773,0.05275567372639974,0.012255275688648521,5,2,50,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7630988517883067,0.7727153705158418,0.7767393561786086,0.7708511928275857,0.005722598992620103,1
1.6251900990804036,0.027933461339066365,0.08448052406311035,0.02027183858564549,5,2,100,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7625594923320994,0.7727511835875854,0.7764307130752184,0.7705804629983012,0.005867237404073618,3
1.3271141052246094,0.2853560721759251,0.05984799067179362,0.02234876365516492,5,5,50,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7626469422797517,0.7734517899137706,0.7747252747252747,0.7702746689729323,0.005418616168400583,4
1.893488883972168,0.28536877607770933,0.05933523178100586,0.0034188292225522054,5,5,100,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7640835757736049,0.7724519357387412,0.7752365930599369,0.7705907015240943,0.004739591631398511,2
1.3382802804311116,0.015755689875916665,0.06741968790690105,0.013553459970248519,10,2,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7527950310559006,0.7562353589637592,0.7682609291489654,0.7590971063895418,0.006630268958998866,8
2.749481678009033,0.026707712177048513,0.10266685485839844,0.03294522918335232,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7563696460542625,0.7556292305567067,0.7675941080196399,0.759864328210203,0.005474131633056121,7
1.8846608797709148,0.8454905844572134,0.08068029085795085,0.015826451404853562,10,5,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7549249207879873,0.7571350164654226,0.7692934782608696,0.7604511385047598,0.006317244124759556,6
3.3525167306264243,0.8282006215468838,0.09415666262308757,0.005585192111928367,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7546130542550261,0.759636563876652,0.7701086956521739,0.7614527712612841,0.006455110767200601,5
1.8917982578277588,0.12680956874568686,0.09264421463012695,0.001765616810730428,,2,50,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7360754070265638,0.7408571428571429,0.7469572601188791,0.7412966033341952,0.004453352730535437,12
4.337581316630046,0.48164417559059874,0.23005112012227377,0.06225400430020167,,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.743717165980406,0.7446476676591521,0.7491573033707866,0.7458407123367815,0.002375751166637477,10
2.2552643616994223,0.5268192451785967,0.09897526105244954,0.01696193658802169,,5,50,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7416017009213324,0.7450484618626212,0.7483925076880067,0.7450142234906534,0.0027724409624208628,11
3.4598476886749268,0.39904925359665866,0.19355646769205728,0.060430122370738235,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7418856259659969,0.7463483146067416,0.75717653584801,0.7484701588069163,0.0064202621110731614,9
